M T L International;1Z091YW70397286035;2016/2/10;IA;51503;24;43;6;;3.25
M T L International;1Z091YW70396214640;2016/2/10;OH;44883;24;40;8;;3.25
M T L International;1Z091YW70398472260;2016/2/10;KY;42223;24;38;7;;3.25
M T L International;1Z091YW70395101102;2016/2/10;LA;70438;24;40;7;;3.25
M T L International;1Z091YW70399305313;2016/2/10;KY;42301;24;40;7;;3.25
M T L International;1Z091YW70399056324;2016/2/10;MS;39465;24;38;7;;3.25
M T L International;1Z091YW70399894740;2016/2/10;IL;61910;24;38;7;;3.25
M T L International;1Z091YW70396230159;2016/2/10;GA;31620;24;40;8;;3.25
M T L International;1Z091YW70399808360;2016/2/10;MO;64093;6;15;6;;3.25
M T L International;1Z091YW70393240199;2016/2/10;TX;75647;5;10;6;;3.25
M T L International;1Z091YW70390755862;2016/2/10;TX;75152;24;40;6;;3.25
M T L International;1Z091YW70393751299;2016/2/10;PA;15110;24;40;8;;
M T L International;1Z091YW70396284904;2016/2/10;NY;13063;9;9;8;;3.25
M T L International;1Z091YW70394967420;2016/2/10;FL;33565;24;40;8;;3.25
M T L International;1Z091YW70393193240;2016/2/10;IL;60441;24;38;7;;3.25
M T L International;1Z091YW70394360450;2016/2/10;IN;46118;24;38;7;;3.25
M T L International;1Z091YW70393223476;2016/2/10;VA;23452;24;40;8;;3.25
M T L International;1Z091YW70392087287;2016/2/10;KS;67410;24;40;6;;3.25
M T L International;1Z091YW70394299509;2016/2/10;PA;17112;24;38;8;;
M T L International;1Z091YW70390095914;2016/2/10;TX;79022;17;27;5;;3.25
M T L International;1Z091YW70391889332;2016/2/10;KY;41030;24;40;8;;3.25
M T L International;1Z091YW70390414346;2016/2/10;FL;32958;24;40;8;;3.25
M T L International;1Z091YW70390740967;2016/2/10;OH;43160;24;40;8;;3.25
M T L International;1Z091YW70391950578;2016/2/10;NJ;8005;18;18;8;;3.25
M T L International;1Z091YW70394126409;2016/2/10;NY;13409;5;10;8;;3.25
M T L International;1Z091YW70392220819;2016/2/10;MA;1201;24;40;8;;
M T L International;1Z091YW70391290237;2016/2/10;VA;23901;24;40;8;;3.25
M T L International;1Z091YW70394443558;2016/2/10;NY;14048;24;40;8;;3.25
M T L International;1Z091YW70399439796;2016/2/11;UT;84067;24;38;4;;3.25
M T L International;1Z091YW70397981417;2016/2/11;AZ;85326;24;40;4;;3.25
