shipper;tracking;ship date;state;zip;customer weight;weight;zone;Ground Commercial;Ground Residential;Ground Residential Third Party;Ground Commercial Third Party;residential surcharge;delivery area surcharge;Delivery Area Surcharge - Extended;fuel surcharge;total;freight rate;2nd Day Air Residential;Delivery Confirmation Signature;Declared Value;Delivery Confirmation Response;Returns Print and Mail Label;Residential Adjustment;Remote Area Surcharge;exception
M T L International;1Z091YW70398453825;2016/1/19;PA;19518;13;13;8;;;13.43;;3.25;;;0.88;17.56;;;;;;;;;
M T L International;1Z091YW70397937297;2016/1/19;NH;3281;16;27;8;;;23.85;;3.25;3.15;;1.59;31.84;;;;;;;;;
M T L International;1Z091YW70395226700;2016/1/19;OH;44004;16;27;8;;;23.85;;3.25;;;1.42;28.52;;;;;;;;;
M T L International;1Z091YW70395317924;2016/1/19;TX;75077;24;40;6;;;22.53;;3.25;;;1.35;27.13;;;;;;;;;
M T L International;1Z091YW70398595637;2016/1/19;CO;80216;24;40;5;;;;17.73;;;;0.93;18.66;;;;;;;;;
M T L International;1Z091YW70394842528;2016/1/20;TX;77450;17;30;6;;;18.98;;3.25;;;1.17;23.4;;;;;;;;;
M T L International;1Z091YW70396452348;2016/1/20;CO;80113;14;14;5;;;9.82;;3.25;;;0.69;13.76;;;;;;;;;
M T L International;1Z091YW70398538789;2016/1/20;TX;75428;16;27;6;;;17.35;;3.25;;4;1.08;21.68;;;;;;;;;
M T L International;1Z091YW70397834808;2016/1/20;TX;78223;16;29;6;;;;18.68;3.25;;;1.15;23.08;;;;;;;;;
M T L International;1Z091YW70399995757;2016/1/20;GA;30620;17;30;8;;;26.23;;3.25;;4;1.55;31.03;;;;;;;;;
M T L International;1Z091YW70395421963;2016/1/20;MN;55309;17;30;7;;;22.04;;3.25;3.15;;1.49;29.93;;;;;;;;;
M T L International;1Z091YW70396154974;2016/1/20;NE;68025;17;30;6;;;18.98;;3.25;3.15;;1.33;26.71;;;;;;;;;
M T L International;1Z091YW70395437394;2016/1/20;KS;67361;16;27;6;;;17.35;;3.25;;4;1.08;21.68;;;;;;;;;
M T L International;1Z091YW70390792349;2016/1/20;WA;99163;17;30;5;;;15.23;;3.25;3.15;;1.14;22.77;;;;;;;;;
M T L International;1Z091YW70393581553;2016/1/20;NC;28625;24;40;8;;;30.72;;3.25;;;1.78;35.75;;;;;;;;;
M T L International;1Z091YW70399435012;2016/1/20;NJ;8723;24;40;8;;;30.72;;3.25;;;1.78;35.75;;;;;;;;;
M T L International;1Z091YW70391775642;2016/1/21;CA;93292;16;27;2;;;9.57;;3.25;;;0.67;13.49;;;;;;;;;
M T L International;1Z091YW70393424633;2016/1/21;AZ;85364;90;90;4;;;;29.09;;;;1.53;30.62;;;;;;;;;
M T L International;1Z091YW70392838966;2016/1/21;PA;18360;5;10;8;;;12.69;;3.25;;;0.84;16.78;;;;;;;;;
M T L International;1Z091YW70390208579;2016/1/21;TN;38139;4;10;7;;;11.49;;3.25;;;0.77;15.51;;;;;;;;;
M T L International;1Z091YW70392814384;2016/1/21;TN;38018;4;10;7;;;11.49;;3.25;;;0.77;15.51;;;;;;;;;
M T L International;1Z091YW70394860393;2016/1/21;SC;29655;5;10;8;;;12.69;;3.25;;4;0.84;16.78;;;;;;;;;
M T L International;1Z091YW70391230604;2016/1/21;FL;33028;5;10;8;;;12.69;;3.25;;;0.84;16.78;;;;;;;;;
M T L International;1Z091YW70390479625;2016/1/21;OH;44035;24;40;8;;;30.72;;3.25;;;1.78;35.75;;;;;;;;;
M T L International;1Z091YW70391926434;2016/1/21;FL;33703;5;10;8;;;12.69;;3.25;;;0.84;16.78;;;;;;;;;
M T L International;1Z091YW70391033443;2016/1/21;FL;33405;24;40;8;;;30.72;;3.25;;;1.78;35.75;;;;;;;;;
M T L International;1Z091YW70390084659;2016/1/21;AL;35444;17;30;7;;;22.04;;3.25;;4;1.33;26.62;;;;;;;;;
M T L International;1Z091YW70390644062;2016/1/21;WI;54313;17;30;7;;;22.04;;3.25;;;1.33;26.62;;;;;;;;;
M T L International;1Z091YW70391155679;2016/1/21;KY;40601;17;30;8;;;26.23;;3.25;;;1.55;31.03;;;;;;;;;
M T L International;1Z091YW70391543482;2016/1/21;IA;52742;16;27;7;;;;20.38;;2.3;;1.19;23.87;;;;;;;;;
M T L International;1Z091YW70394811490;2016/1/21;FL;33142;24;40;8;;;;30.72;;;;1.61;32.33;;;;;;;;;
M T L International;1Z091YW70390643705;2016/1/21;MN;55016;7;7;7;;;10.02;;3.25;;;0.7;13.97;;;;;;;;;
M T L International;1Z091YW70391004117;2016/1/21;TN;37379;7;7;8;;;10.72;;3.25;3.15;;0.9;18.02;;;;;;;;;
M T L International;1Z091YW70392736727;2016/1/21;FL;32746;16;27;8;;;23.85;;3.25;;;1.42;28.52;;;;;;;;;
M T L International;1Z091YW70392165531;2016/1/21;AR;72908;17;30;6;;;;18.98;;;;1;19.98;;;;;;;;;
M T L International;1Z091YW70393407750;2016/1/21;AL;35654;51;60;7;;;32.68;;3.25;;4;1.89;37.82;;;;;;;;;
M T L International;1Z091YW70394669163;2016/1/21;VA;23661;51;60;8;;;38.8;;3.25;;;2.21;44.26;;;;;;;;;
M T L International;1Z091YW70390722772;2016/1/21;AL;36572;51;60;7;;;32.68;;3.25;3.15;;2.05;41.13;;;;;;;;;
M T L International;1Z091YW70394292588;2016/1/21;TN;37160;51;60;7;;;32.68;;3.25;;4;1.89;37.82;;;;;;;;;
M T L International;1Z091YW70392182594;2016/1/21;IN;46526;51;60;7;;;32.68;;3.25;;;1.89;37.82;;;;;;;;;
M T L International;1Z091YW70393876806;2016/1/21;PA;17044;51;60;8;;;38.8;;3.25;;;2.21;44.26;;;;;;;;;
